task,solution,status
ei,<p>Feminine</p><p>die Bäckerei</p><p>die Bücherei</p>,0
in,<p>Feminine</p><p>die Lehrerin</p><p>die Schülerin</p>,0
keit,<p>Feminine</p><p>die Ähnlichkeit</p><p>die Möglichkeit</p>,0
heit,<p>Feminine</p><p>die Gesundheit</p><p>die Freiheit</p>,0
schaft,<p>Feminine</p><p>die Wirtschaft</p><p>die Landschaft</p>,0
ung,<p>Feminine</p><p>die Heizung</p><p>die Meinung</p>,0
a,<p>Feminine</p><p>die Kamera</p><p>die Liga</p>,0
ade,<p>Feminine</p><p>die Parade</p><p>die Schokolade</p>,0
ette,<p>Feminine</p><p>die Toilette</p><p>die Zigarette</p>,0
ie,<p>Feminine</p><p>die Theorie</p><p>die Serie</p>,0
ik,<p>Feminine</p><p>die Musik</p><p>die Physik</p>,0
ine,<p>Feminine</p><p>die Maschine</p><p>die Blondine</p>,0
ion,<p>Feminine</p><p>die Kommunikation</p><p>die Produktion</p>,0
tät,<p>Feminine</p><p>die Spezialität</p><p>die Qualität</p>,0
ive,<p>Feminine</p><p>die Alternative</p><p>die Perspektive</p>,0
sis,<p>Feminine</p><p>die Dosis</p><p>die Skepsis</p>,0
ur,<p>Feminine</p><p>die Natur</p><p>die Literatur</p>,0
ig,<p>männlisch</p><p>der Honig</p><p>der König</p>,0
ling,<p>männlisch</p><p>der Zwilling</p><p>der Frühling</p>,0
ent,<p>männlisch</p><p>der Student</p><p>der Agent</p>,0
ier,<p>männlisch</p><p>der Indonesier</p><p>der Juwelier</p>,0
ismus,<p>männlisch</p><p>der Kapitalismus</p><p>der Optimismus</p>,0
ist,<p>männlisch</p><p>der Buddhist</p><p>der Pianist</p>,0
or,<p>männlisch</p><p>der Motor</p><p>der Chor</p>,0
ör,<p>männlisch</p><p>der Frisör</p><p>der Likör</p>,0
iker,<p>männlisch</p><p>der Romantiker</p><p>der Chemiker</p>,0
ast,<p>männlisch</p><p>der Gast</p><p>der Palast</p>,0
eur,<p>männlisch</p><p>der Redakteur</p><p>der Ingenieur</p>,0
chen,<p>neutrale</p><p>das Mädchen</p><p>das Fläschchen</p>,0
lein,<p>neutrale</p><p>das Fräulein</p><p>das Bächlein</p>,0
tel,<p>neutrale</p><p>das Hotel</p><p>das Viertel</p>,0
tum,<p>neutrale</p><p>das Eigentum</p><p>das Datum</p>,0
in,<p>neutrale</p><p>das Benzin</p><p>das Bewusstsein</p>,0
o,<p>neutrale</p><p>das Radio</p><p>das Auto</p>,0
ing,<p>neutrale</p><p>das Ding</p><p>das Meeting</p>,0
um,<p>neutrale</p><p>das Zentrum</p><p>das Museum</p>,0
ma,<p>neutrale</p><p>das Klima</p><p>das Drama</p>,0
ment,<p>neutrale</p><p>das Element</p><p>das Experiment</p>,0
ett,<p>neutrale</p><p>das Bett</p><p>das Omelett</p>,0
Ge-,<p>neutrale</p><p>das Geschlecht</p><p>das Gewitter</p>,0
